id_nivelriesgo,id_dispositivo,Puntuacion,Nivel_detectado,Vegetacion,Estacion
208,1,1.66667,moderado,Sin vegetación,Seca
209,1,2.33333,moderado,Con vegetación,Lluviosa
210,1,2.33333,moderado,Con vegetación,Lluviosa
211,1,2.33333,moderado,Con vegetación,Lluviosa
212,1,2.33333,moderado,Con vegetación,Lluviosa
213,1,2.33333,moderado,Con vegetación,Lluviosa
214,1,2.33333,moderado,Con vegetación,Lluviosa
215,1,2.33333,moderado,Con vegetación,Lluviosa
216,1,2.33333,moderado,Con vegetación,Lluviosa
217,1,2.33333,moderado,Con vegetación,Lluviosa
218,1,2.33333,moderado,Con vegetación,Lluviosa
219,1,2.33333,moderado,Con vegetación,Lluviosa
220,1,2.33333,moderado,Con vegetación,Lluviosa
221,1,2.33333,moderado,Con vegetación,Lluviosa
222,1,2.66667,alto,Con vegetación,Lluviosa
223,1,2.33333,moderado,Con vegetación,Lluviosa
224,1,2.66667,alto,Con vegetación,Lluviosa
225,1,2.66667,alto,Con vegetación,Lluviosa
226,1,2.33333,moderado,Con vegetación,Lluviosa
227,1,2.66667,alto,Con vegetación,Lluviosa
228,1,2.66667,alto,Con vegetación,Lluviosa
229,1,2.66667,alto,Con vegetación,Lluviosa
230,1,2.66667,alto,Con vegetación,Lluviosa
231,1,2.66667,alto,Con vegetación,Lluviosa
232,1,2.66667,alto,Con vegetación,Lluviosa
233,1,2.66667,alto,Con vegetación,Lluviosa
234,1,2.66667,alto,Con vegetación,Lluviosa
235,1,2.66667,alto,Con vegetación,Lluviosa
236,1,2.66667,alto,Con vegetación,Lluviosa
237,1,2.66667,alto,Con vegetación,Lluviosa
238,1,2.66667,alto,Con vegetación,Lluviosa
239,1,1.0,bajo,Sin vegetación,Seca
240,1,1.33333,bajo,Sin vegetación,Seca
241,1,1.33333,bajo,Sin vegetación,Seca
242,1,1.0,bajo,Sin vegetación,Seca
243,1,1.33333,bajo,Sin vegetación,Seca
244,1,1.33333,bajo,Sin vegetación,Seca
245,1,1.0,bajo,Sin vegetación,Seca
246,1,1.33333,bajo,Sin vegetación,Seca
247,1,1.33333,bajo,Sin vegetación,Seca
248,1,1.0,bajo,Sin vegetación,Seca
